stopwords,stemmed,lemmatized
sozialen,sozial,sozial
spaeter,spaet,spaeter
spater,spat,spater
spd,spd,spd
sprechen,sprech,sprechen
spricht,spricht,sprechen
staat,staat,staat
staaten,staat,staaten
staatsminister,staatsminist,staatsminister
staatssekretaer,staatssekreta,staatssekretaer
staatssekretar,staatssekretar,staatssekretar
staerker,staerk,staerker
stand,stand,stehen
standpunkt,standpunkt,standpunkt
stark,stark,stark
starken,stark,stark
starker,stark,stark
statt,statt,statt
stehen,steh,stehen
steht,steht,stehen
stelle,stell,stelle
stellen,stell,stellen
stellt,stellt,stellen
stellung,stellung,stellung
stellungnahme,stellungnahm,stellungnahme
stimme,stimm,stimme
stimmen,stimm,stimmen
stimmkarte,stimmkart,stimmkarte
stimmt,stimmt,stimmen
strauss,strauss,strauss
stuck,stuck,stuck
stuecklen,stueckl,stuecklen
stunde,stund,stunden
suessmuth,suessmuth,suessmuth
system,syst,system
taetigkeit,taetig,taetigkeit
tag,tag,tag
tage,tag,tage
tagen,tag,tagen
tagesordnung,tagesordn,tagesordnung
tat,tat,tun
tatsache,tatsach,tatsache
tatsachlich,tatsach,tatsachlich
tatsaechlich,tatsaech,tatsaechlich
teil,teil,teil
teilen,teil,teilen
teilweise,teilweis,teilweise
the,the,the
thema,thema,thema
themen,them,themen
tragen,trag,tragen
treffen,treff,treffen
treten,tret,treten
trotz,trotz,trotzen
trotzdem,trotzd,trotzdem
tun,tun,tun
tut,tut,tun
uber,uber,uber
uberhaupt,uberhaupt,uberhaupt
ubrigen,ubrig,ubrigen
ubrigens,ubrig,ubrigens
ueber,ueb,ueber
ueberhaupt,ueberhaupt,ueberhaupt
ueberlegen,ueberleg,ueberlegen
ueberlegungen,ueberleg,ueberlegungen
ueberzeugt,ueberzeugt,ueberzeugt
ueberzeugung,ueberzeug,ueberzeugung
uebrigen,uebrig,uebrigen
uebrigens,uebrig,uebrigens
uhr,uhr,uhr
um,um,um
umdruck,umdruck,umdruck
umfang,umfang,umfang
umgesetzt,umgesetzt,umsetzen
umsetzung,umsetz,umsetzung
umstaenden,umstaend,umstaenden
umwelt,umwelt,umwelt
unbedingt,unbedingt,unbedingt
und,und,und
union,union,union
unmoeglich,unmoeg,unmoeglich
uns,uns,sich
unser,uns,sich
unsere,uns,mein
unserem,uns,mein
unseren,uns,mein
unserer,uns,mein
unseres,uns,mein
unter,unt,unter
unterhalten,unterhalt,unterhalten
unternehmen,unternehm,unternehmen
unterschied,unterschied,unterscheiden
unterstuetzen,unterstuetz,unterstuetzen
unterstuetzung,unterstuetz,unterstuetzung
usw,usw,usw
verabschiedet,verabschiedet,verabschieden
verabschiedung,verabschied,verabschiedung
verantwortung,verantwort,verantwortung
verbessern,verbess,verbessern
verbesserung,verbesser,verbesserung
verehrte,verehrt,verehren
verehrten,verehrt,verehren
vereinbart,vereinbart,vereinbart
verfahren,verfahr,verfahren
verfuegung,verfueg,verfuegung
verfugung,verfug,verfugung
vergangenen,vergang,vergangen
vergangenheit,vergang,vergangenheit
vergessen,vergess,vergessen
vergleich,vergleich,vergleich
verhaeltnis,verhaeltnis,verhaeltnis
verhaeltnisse,verhaeltnis,verhaeltnisse
verhalten,verhalt,verhalten
verhandlungen,verhandl,verhandlungen
verhindern,verhind,verhindern
verlangen,verlang,verlangen
verlangt,verlangt,verlangen
verordnung,verordn,verordnung
verpflichtet,verpflichtet,verpflichten
verpflichtung,verpflicht,verpflichtung
verschiedenen,verschied,verschieden
verstaendnis,verstaendnis,verstaendnis
verstanden,verstand,verstehen
verstehen,versteh,verstehen
versuch,versuch,versuch
versuchen,versuch,versuchen
versucht,versucht,versuchen
vertrag,vertrag,vertrag
vertreten,vertret,vertreten
vertreter,vertret,vertreter
verwaltung,verwalt,verwaltung
verwiesen,verwies,verweisen
viel,viel,viel
viele,viel,viel
vielen,viel,viel
vieles,viel,viel
vielleicht,vielleicht,vielleicht
vielmehr,vielmehr,vielmehr
vier,vier,vier
vizepraesident,vizepraesident,vizepraesident
vizepraesidentin,vizepraesidentin,vizepraesidentin
vizeprasidentin,vizeprasidentin,vizeprasidentin
vockenhausen,vockenhaus,vockenhausen
voellig,voellig,voellig
volk,volk,volk
volkes,volk,volkes
voll,voll,voll
vollig,vollig,vollig
vom,vom,vom
von,von,von
vor,vor,vor
voraussetzung,voraussetz,voraussetzung
voraussetzungen,voraussetz,voraussetzungen
vorgelegt,vorgelegt,vorlegen
vorgenommen,vorgenomm,vornehmen
vorgeschlagen,vorgeschlag,vorschlagen
vorgesehen,vorgeseh,vorsehen
vorgetragen,vorgetrag,vortragen
vorhanden,vorhand,vorhanden
vorher,vorh,vorher
vorhin,vorhin,vorhin
vorlage,vorlag,vorlage
vorliegen,vorlieg,vorliegen
vorliegenden,vorlieg,vorliegend
vorliegt,vorliegt,vorliegen
vorschlaege,vorschlaeg,vorschlaege
vorschlag,vorschlag,vorschlag
vorschlage,vorschlag,vorschlage
vorschriften,vorschrift,vorschriften
vorstellen,vorstell,vorstellen
vorstellungen,vorstell,vorstellungen
vorwurf,vorwurf,vorwurf
waehrend,waehrend,waehrend
waere,waer,waere
waeren,waer,waeren
wahl,wahl,wahl
wahlperiode,wahlperiod,wahlperiode
wahrend,wahrend,wahren
wahrheit,wahrheit,wahrheit
wahrscheinlich,wahrschein,wahrscheinlich
wann,wann,wann
war,war,sein
ware,war,ware
waren,war,sein
warst,warst,sein
warum,warum,warum
was,was,was
weder,wed,weder
weg,weg,weg
wege,weg,wege
wegen,weg,wegen
wehner,wehn,wehner
weil,weil,weil
weise,weis,weisen
weit,weit,weit
weiter,weit,weit
weitere,weit,weit
weiteren,weit,weit
weiterer,weit,weit
weiteres,weit,weit
weiterhin,weiterhin,weiterhin
weiternun,weiternun,weiternun
weiterreden,weiterred,weiterreden
weitgehend,weitgeh,weitgehend
weiss,weiss,weiss
welche,welch,welch
welchem,welch,welch
welchen,welch,welch
welcher,welch,welch
welches,welch,welch
welt,welt,welt
weltweit,weltweit,weltweit
wenig,wenig,wenig
wenige,wenig,wenig
wenigen,wenig,wenig
weniger,wenig,wenig
wenigstens,wenigst,wenigstens
wenn,wenn,wenn
wer,wer,wer
werde,werd,werden
werden,werd,werden
wert,wert,wert
wesentlich,wesent,wesentlich
wesentliche,wesent,wesentlich
wesentlichen,wesent,wesentlich
wichtig,wichtig,wichtig
wichtige,wichtig,wichtig
wichtigen,wichtig,wichtig
wichtiger,wichtig,wichtig
widerspruch,widerspruch,widerspruch
wie,wie,wie
wieder,wied,wieder
wiederholen,wiederhol,wiederholen
wiederholt,wiederholt,wiederholen
will,will,wollen
willen,will,willen
wir,wir,ich
wird,wird,werden
wirklich,wirklich,wirklich
wirklichkeit,wirklich,wirklichkeit
wirst,wirst,werden
wirtschaft,wirtschaft,wirtschaft
wirtschaftliche,wirtschaft,wirtschaftlich
wirtschaftlichen,wirtschaft,wirtschaftlich
wissen,wiss,wissen
wo,wo,wo
wobei,wobei,wobei
woche,woch,woche
wochen,woch,wochen
wohl,wohl,wohl
wolfgang,wolfgang,wolfgang
wollen,woll,wollen
wollte,wollt,wollen
wollten,wollt,wollen
womoglich,womog,womoglich
worden,word,werden
wort,wort,wort
worte,wort,worte
worten,wort,worten
wortmeldungen,wortmeld,wortmeldungen
woruber,worub,woruber
wuenschen,wuensch,wuenschen
wuenscht,wuenscht,wuenscht
wuerde,wuerd,wuerde
wuerden,wuerd,wuerden
wunsch,wunsch,wunsch
wurde,wurd,werden
wurden,wurd,werden
waehrend,waehrend,waehrend
wuerde,wuerd,wuerde
wuerden,wuerd,wuerden
zahl,zahl,zahl
zahlen,zahl,zahlen
zehn,zehn,zehn
zeigen,zeig,zeigen
zeigt,zeigt,zeigen
zeit,zeit,zeit
zeitpunkt,zeitpunkt,zeitpunkt
ziehen,zieh,ziehen
ziel,ziel,ziel
ziffer,ziff,ziffer
zitiere,ziti,zitieren
zitieren,ziti,zitieren
zitiert,zitiert,zitieren
zu,zu,zu
zudem,zud,zudem
zugestimmt,zugestimmt,zustimmen
zukunft,zukunft,zukunft
zuletzt,zuletzt,zuletzt
zum,zum,zum
zumindest,zumind,zumindest
zunachst,zunach,zunachst
zunaechst,zunaech,zunaechst
zur,zur,zur
zuruck,zuruck,zuruck
zurueck,zurueck,zurueck
zusaetzlich,zusaetz,zusaetzlich
zusaetzliche,zusaetz,zusaetzliche
zusaetzlichen,zusaetz,zusaetzlichen
zusammen,zusamm,zusammen
zusammenarbeit,zusammenarbeit,zusammenarbeit
zusammenhang,zusammenhang,zusammenhang
zusatzfrage,zusatzfrag,zusatzfrage
zusatzlich,zusatz,zusatzlich
zustaendigen,zustaend,zustaendigen
zustand,zustand,zustehen
zustimmen,zustimm,zustimmen
zustimmung,zustimm,zustimmung
zuzustimmen,zuzustimm,zustimmen
zwar,zwar,zwar
zweck,zweck,zweck
zwei,zwei,zwei
zweifel,zweifel,zweifel
zweifellos,zweifellos,zweifellos
zweite,zweit,zweite
zweiten,zweit,zweit
zweitens,zweit,zweitens
zwischen,zwisch,zwischen
zwischenfrage,zwischenfrag,zwischenfrage
ueber,ueb,ueber
